(epoch: 1, iters: 100, time: 0.223, data: 0.295) G_GAN: 1.772 G_L1: 37.913 D_real: 0.652 D_fake: 0.238 
(epoch: 1, iters: 200, time: 0.223, data: 0.002) G_GAN: 2.103 G_L1: 31.205 D_real: 0.271 D_fake: 0.264 
(epoch: 1, iters: 300, time: 0.221, data: 0.002) G_GAN: 3.282 G_L1: 38.175 D_real: 0.020 D_fake: 0.338 
(epoch: 1, iters: 400, time: 0.402, data: 0.002) G_GAN: 3.422 G_L1: 40.398 D_real: 0.046 D_fake: 0.053 
(epoch: 2, iters: 100, time: 0.221, data: 0.152) G_GAN: 3.140 G_L1: 35.802 D_real: 0.127 D_fake: 0.136 
(epoch: 2, iters: 200, time: 0.224, data: 0.002) G_GAN: 3.353 G_L1: 40.935 D_real: 0.011 D_fake: 1.462 
(epoch: 2, iters: 300, time: 0.222, data: 0.002) G_GAN: 1.015 G_L1: 28.588 D_real: 1.074 D_fake: 0.142 
(epoch: 2, iters: 400, time: 0.418, data: 0.002) G_GAN: 2.205 G_L1: 38.425 D_real: 0.326 D_fake: 0.066 
(epoch: 3, iters: 100, time: 0.222, data: 0.162) G_GAN: 2.583 G_L1: 41.769 D_real: 0.016 D_fake: 0.352 
(epoch: 3, iters: 200, time: 0.218, data: 0.002) G_GAN: 3.019 G_L1: 41.709 D_real: 0.066 D_fake: 0.164 
(epoch: 3, iters: 300, time: 0.220, data: 0.002) G_GAN: 3.663 G_L1: 40.484 D_real: 0.175 D_fake: 0.050 
(epoch: 3, iters: 400, time: 0.420, data: 0.002) G_GAN: 1.418 G_L1: 23.539 D_real: 2.715 D_fake: 0.033 
(epoch: 4, iters: 100, time: 0.207, data: 0.121) G_GAN: 2.267 G_L1: 21.444 D_real: 4.692 D_fake: 0.044 
(epoch: 4, iters: 200, time: 0.223, data: 0.002) G_GAN: 4.422 G_L1: 50.691 D_real: 0.023 D_fake: 0.060 
(epoch: 4, iters: 300, time: 0.223, data: 0.002) G_GAN: 4.362 G_L1: 38.394 D_real: 0.014 D_fake: 0.043 
(epoch: 4, iters: 400, time: 0.414, data: 0.002) G_GAN: 3.587 G_L1: 38.957 D_real: 0.892 D_fake: 0.016 
(epoch: 5, iters: 100, time: 0.224, data: 0.148) G_GAN: 2.259 G_L1: 29.260 D_real: 0.014 D_fake: 0.247 
(epoch: 5, iters: 200, time: 0.222, data: 0.002) G_GAN: 3.861 G_L1: 59.993 D_real: 0.001 D_fake: 0.027 
(epoch: 5, iters: 300, time: 0.224, data: 0.002) G_GAN: 3.125 G_L1: 36.720 D_real: 0.079 D_fake: 0.154 
(epoch: 5, iters: 400, time: 0.435, data: 0.002) G_GAN: 3.332 G_L1: 47.129 D_real: 0.001 D_fake: 0.055 
(epoch: 6, iters: 100, time: 0.222, data: 0.156) G_GAN: 3.556 G_L1: 34.929 D_real: 0.016 D_fake: 0.134 
(epoch: 6, iters: 200, time: 0.222, data: 0.002) G_GAN: 2.541 G_L1: 35.683 D_real: 0.041 D_fake: 0.232 
(epoch: 6, iters: 300, time: 0.220, data: 0.002) G_GAN: 1.532 G_L1: 41.701 D_real: 0.002 D_fake: 1.064 
(epoch: 6, iters: 400, time: 0.440, data: 0.002) G_GAN: 2.472 G_L1: 29.007 D_real: 0.262 D_fake: 0.238 
